hierarchial cluster,,,Class,Title,Description,km cluster,hierarchial cluster,tsne-2d-one-km,tsne-2d-two-km,tsne-2d-one-hc,tsne-2d-two-hc
0,3,9876,3,Delta Halfway Through Restructuring - WSJ," NEW YORK (Reuters) - Delta Air Lines &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DAL.N target=/stocks/quickinfo/fullquote""&gt;DAL.N&lt;/A&gt;, still hoping  to avoid filing for bankruptcy, has completed about half its  planned restructuring, the Wall Street Journal reported on  Tuesday.",3,0,4.0760384,2.033202,4.0760384,2.033202
0,3,44454,3,From pesto to porridge for Martha Stewart,"Martha Stewart, who built an empire teaching Americans how to cook, garden and entertain, is facing a very different lifestyle after being told to report to a prison in West Virginia by October 8. The US bureau ",1,0,0.26647404,0.36906162,0.26647404,0.36906162
0,4,7157,4,Macromedia launches Flex Builder,"Macromedia will ship Flex Builder this week, which is designed to provide an interactive development environment for the company #39;s Flex presentation server.",1,0,0.7160686,2.205832,0.7160686,2.205832
0,3,41214,3,Ingram Micro Expands Asia Pacific Presence,Ingram Micro Inc. today announced during a conference call that it has entered into an agreement that will increase its reach in the Asia Pacific region.,1,0,-0.40119702,0.98524195,-0.40119702,0.98524195
0,3,54450,3,"Dell to Recall 990,000 Laptop Power Adapters","Dell Inc. will recall about 990,000 power adapters for some of its laptop computer models because of a risk of overheating, which could lead to a fire or electrical shock, the US Consumer Product Safety Commission said on Friday.",1,0,0.08888633,0.7832797,0.08888633,0.7832797
0,3,62561,3,Playing the Percentages,"When I saw a young guy on the escalator, a large television on his shoulder and a gleam of triumph in his eye, I knew I was where I belonged.",1,0,2.02831,0.9285222,2.02831,0.9285222
0,4,25726,4,IBM delivers Power-based servers with Linux,"IBM will push its Power5 line of servers down into the low end of the market, taking Linux with it, when it unwraps an aggressively priced series of Linux-only systems on Monday that will go up against the offerings of Sun Microsystems and Hewlett-Packard.",1,0,1.130979,3.277004,1.130979,3.277004
0,3,44899,3,IBM Agrees to Settle Part of Giant Pension Case,IBM said yesterday that it had agreed to pay \$320 million to current and former employees to settle in part a class-action lawsuit over its pension plan in a case that may affect millions ,1,0,0.91227597,3.9670403,0.91227597,3.9670403
0,4,10510,4,Jamaica to provide Internet access to poor communities,"Jamaica #39;s government says it plans to provide free Internet access in poor communities across the island. The e-Jamaica initiative will establish 60 Internet centres across the country by 2010, mostly in post offices.",1,0,0.67899907,1.2948395,0.67899907,1.2948395
0,4,100039,4,Video game violence goes to next level,"What most adults might consider games for kids are anything but, say video game industry critics and two US senators. BY CHARLES HOMANS.",2,0,1.9218503,0.9159345,1.9218503,0.9159345
1,2,110262,2,Bunning: We may need to tackle steroids,US Sen. Jim Bunning said Tuesday night that he expects Congress to have to get involved to resolve Major League Baseball #39;s steroid crisis.,2,1,2.7599905,0.6517262,2.7599905,0.6517262
1,2,41911,2,Expos likely to come to District,"Major League Baseball is expected to announce tomorrow that the Montreal Expos will move to the District, and anticipation yesterday surged in Washington that the city #39;s 33-year baseball drought is finally at an end.",2,1,2.6852815,0.74965686,2.6852815,0.74965686
1,3,31777,3,FBI targets mortgage fraud crime in Utah,The FBI #39;s Salt Lake City office said Friday that Utah #39;s high rate of mortgage fraud has become the focus of its campaign to combat a host of white-collar crimes committed against financial institutions.,0,1,0.18953224,0.3291351,0.18953224,0.3291351
1,3,50186,3,Lazard Set to Discuss \$3 Billion IPO,Lazard #39;s board is set to meet to consider a sale of shares to the public that could end a long history of private ownership at the independent investment bank and possibly buy out the bank #39;s founding family.,1,1,-0.69987607,1.4512564,-0.69987607,1.4512564
1,4,42921,4,EPCglobal: Users to get RFID progress update,"IBM, HP, Sun and Manhattan Associates head the list of vendors launching new products and services at this week's EPCglobal U.S. Conference 2004 in Baltimore.",3,1,0.9941621,3.112431,0.9941621,3.112431
1,1,114053,1,Racist Taunts Rattle European Soccer,"Professional soccer teams, their national and international governing bodies and anti-racism groups have been grappling with a number of incidents around Europe over the last month.",1,1,0.23187138,-0.14990328,0.23187138,-0.14990328
1,2,29375,2,NHL begins lockout that could be lengthy,"Three months ago, the Tampa Bay Lightning won the Stanley Cup. Now there might not be a season for the Lightning to defend that championship.",2,1,0.7293648,-0.7348861,0.7293648,-0.7348861
1,2,65492,2,Bucs owner Glazer moves closer to possible takeover of Man United,American businessman Malcolm Glazer has moved closer to a takeover bid for England #39;s storied soccer club Manchester United. The owner of the NFL #39;s Tampa Bay Buccaneers upped his stake in the ,2,1,0.56564367,-0.3125481,0.56564367,-0.3125481
1,3,37952,3,California Public Utilities Commission Raises UNE Rates by 20,The California Public Utilities Commission (CPUC) approved a proposal that will increase wholesale rates for SBC #39;s California service territory by 20 percent.,1,1,0.061426833,1.1724735,0.061426833,1.1724735
1,4,59400,4,FDA Approves Use of Chip in Patients (AP),"AP - The Food and Drug Administration on Wednesday approved an implantable computer chip that can pass a patient's medical details to doctors, speeding care.",1,1,-1.4715996,1.1027561,-1.4715996,1.1027561
2,4,92537,4,Microsoft Claims Mozilla Firefox Not a Threat to IE,"ZDNet Australia is reporting that Microsoft does not believe Mozilla Firefox is a threat to Internet Explorer. Steve Vamos, who heads the software giant #39;s Austrialian operation, does not believe IE #39;s market share is under attack from Firefox.",1,2,1.6314957,1.8288956,1.6314957,1.8288956
2,4,44277,4,House Toughens Penalties on P2Ps,The US House of Representatives approved legislation Tuesday night that could put some peer-to-peer (define) file swappers in jail for up to five years.,2,2,0.6438757,0.8076791,0.6438757,0.8076791
2,3,50877,3,Shackin' Up With Big Sam,RadioShack signs a deal to operate wireless phone kiosks in Sam's Club locations.,1,2,0.3258658,3.4675603,0.3258658,3.4675603
2,4,90747,4,Firefox Could Give IE A Run For The Money,"By the day of its release last week, Mozilla Foundation #39;s Firefox 1.0 had already garnered 3 of the Web-browser market. Not bad for a new product competing directly with Microsoft #39;s widely entrenched Internet Explorer.",1,2,1.4400747,2.102811,1.4400747,2.102811
2,4,8510,4,Mice flex muscles in genetic studies,Genetically engineered mice developed by Salk Institute and UCSD scientists in separate studies have greater performance abilities when running and swimming.,1,2,0.5066865,0.5835183,0.5066865,0.5835183
2,3,85939,3,Heads may roll at Putnam,"As many as 15 senior execs could lose their jobs in the next few days: source. BOSTON (Reuters) - Putnam Investments is expected to lay off more employees, the chief executive of its parent company said Tuesday ",0,2,0.23037371,0.8506844,0.23037371,0.8506844
2,4,90779,4,Another Cool Firefox Search Tool,"In my Firefox series last week, I overlooked one of the browser's most powerful search functions: An 'always on' find as you type feature.",1,2,1.970816,3.2440104,1.970816,3.2440104
2,3,75871,3,Whitbread to sell historic brewery,"WHITBREAD #39;S new chief executive Alan Parker today made his first mark on the leisure giant, unveiling 800m of disposals and plans to sell its historic brewery on Chiswell Street.",3,2,0.27205953,0.7964425,0.27205953,0.7964425
2,3,65323,3,"Coke, Bottler and EU Reach Antitrust Deal"," ATLANTA (Reuters) - Coca-Cola Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KO.N target=/stocks/quickinfo/fullquote""&gt;KO.N&lt;/A&gt; and its largest  bottler, Coca-Cola Enterprises Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CCE.N target=/stocks/quickinfo/fullquote""&gt;CCE.N&lt;/A&gt;, said on Tuesday  they had reached an agreement to settle a five-year antitrust  case with the European Commission.",0,2,2.946268,1.2395072,2.946268,1.2395072
2,1,9428,1,More delays for British Airways passengers in London (AFP),AFP - British Airways cancelled four more flights due to what it called lingering problems from a staff shortage at London's Heathrow Airport which delayed thousands of travellers earlier in the week.,0,2,0.010100749,0.47764766,0.010100749,0.47764766
3,4,60826,4,New Russian-U.S. Crew Heads Into Space (AP),"AP - A new Russian-U.S. crew headed to the international space station Thursday, surging into orbit aboard a Soyuz spacecraft none of the three astronauts has piloted before.",3,3,-0.6645441,-3.0037942,-0.6645441,-3.0037942
3,4,71490,4,Hackers Pull Out Nasty Trick From Hat,An e-mail that tricks Linux users to download a fake update from Red Hats security team is currently doing the rounds of the Internet.,1,3,1.5901535,2.5501976,1.5901535,2.5501976
3,4,42382,4,"Jeanne Costs Money, Time at Florida Spaceport (Reuters)",Reuters - Jeanne was the third\hurricane in six weeks to damage Florida's Kennedy Space Center\but NASA would not say on Monday whether the damage will set\back plans to resume space shuttle flights next March.,1,3,-0.5853609,-2.8127038,-0.5853609,-2.8127038
3,4,39318,4,NASA Says Space Station Running Low on Oxygen,"By MARCIA DUNN    CAPE CANAVERAL, Fla. (AP) -- Oxygen and food will be worrisomely low on the international space station by Christmas, and it's crucial that a Russian supply ship get there by then, a top NASA official said Friday...",0,3,-0.71112174,-3.016974,-0.71112174,-3.016974
3,4,57752,4,NASA Says Repairs Have Lessened Worries About Shortages,"As a new crew prepares to lift off tomorrow for the international space station, NASA officials say they are less worried than they were two weeks ago about problems with its oxygen generator and growing shortages of food and spare parts.",1,3,-0.6644758,-2.850677,-0.6644758,-2.850677
3,4,52100,4,Can Skype Cash In On Free?,NEW YORK - Skype Technologies made a name for itself providing a free Internet telephone program to users around the world. Now it #39;s time to cash in.,3,3,1.6730998,1.8545797,1.6730998,1.8545797
3,4,79420,4,Air and Space museum expands offerings once again,"CHANTILLY, Virginia - Yesterday, the Smithsonian took the wraps off a new hangar where visitors can get close to a space shuttle. The space shuttle Enterprise is now on exhibit, the museum #39;s second-largest artifact after the Concorde.",3,3,-0.5685915,-2.837295,-0.5685915,-2.837295
3,4,54002,4,NASA will cover only a fraction of cost of module lost on shuttle,"NASA has turned back an \$87.7 million claim by Spacehab for equipment lost on the shuttle Columbia, but the company may appeal. Spacehab officials said Thursday that NASA #39;s rejection was ",1,3,-0.44600335,-2.5161488,-0.44600335,-2.5161488
3,4,118903,4,Task force should clear shuttle for launch,"NASA appears on track to return the space shuttle to flight in May or June 2005 as planned, says an influential oversight panel. The independent task force - set up to oversee NASA #39;s efforts following the ",1,3,-0.5061205,-2.6717417,-0.5061205,-2.6717417
3,4,20138,4,Space Shuttles Survive Hurricane Frances,"maggeth writes  quot;In an update to a previous story, NASA damage assessment teams have begun work at the Kennedy Space Center, which was hit by Hurricane Frances.",1,3,-0.45619228,-2.5933363,-0.45619228,-2.5933363
